Data,Ticker,Preco_Fechamento
2022-11-08,ELET3.SA,
2022-11-09,ELET3.SA,
2022-11-10,ELET3.SA,
2022-11-11,ELET3.SA,
2022-11-14,ELET3.SA,
2022-11-16,ELET3.SA,
2022-11-17,ELET3.SA,
2022-11-18,ELET3.SA,
2022-11-21,ELET3.SA,
2022-11-22,ELET3.SA,
2022-11-23,ELET3.SA,
2022-11-24,ELET3.SA,
2022-11-25,ELET3.SA,
2022-11-28,ELET3.SA,
2022-11-29,ELET3.SA,
2022-11-30,ELET3.SA,
2022-12-01,ELET3.SA,
2022-12-02,ELET3.SA,
2022-12-05,ELET3.SA,
2022-12-06,ELET3.SA,
2022-12-07,ELET3.SA,
2022-12-08,ELET3.SA,
2022-12-09,ELET3.SA,
2022-12-12,ELET3.SA,
2022-12-13,ELET3.SA,
2022-12-14,ELET3.SA,
2022-12-15,ELET3.SA,
2022-12-16,ELET3.SA,
2022-12-19,ELET3.SA,
2022-12-20,ELET3.SA,
2022-12-21,ELET3.SA,
2022-12-22,ELET3.SA,
2022-12-23,ELET3.SA,
2022-12-26,ELET3.SA,
2022-12-27,ELET3.SA,
2022-12-28,ELET3.SA,
2022-12-29,ELET3.SA,
2023-01-02,ELET3.SA,
2023-01-03,ELET3.SA,
2023-01-04,ELET3.SA,
2023-01-05,ELET3.SA,
2023-01-06,ELET3.SA,
2023-01-09,ELET3.SA,
2023-01-10,ELET3.SA,
2023-01-11,ELET3.SA,
2023-01-12,ELET3.SA,
2023-01-13,ELET3.SA,
2023-01-16,ELET3.SA,
2023-01-17,ELET3.SA,
2023-01-18,ELET3.SA,
2023-01-19,ELET3.SA,
2023-01-20,ELET3.SA,
2023-01-23,ELET3.SA,
2023-01-24,ELET3.SA,
2023-01-25,ELET3.SA,
2023-01-26,ELET3.SA,
2023-01-27,ELET3.SA,
2023-01-30,ELET3.SA,
2023-01-31,ELET3.SA,
2023-02-01,ELET3.SA,
2023-02-02,ELET3.SA,
2023-02-03,ELET3.SA,
2023-02-06,ELET3.SA,
2023-02-07,ELET3.SA,
2023-02-08,ELET3.SA,
2023-02-09,ELET3.SA,
2023-02-10,ELET3.SA,
2023-02-13,ELET3.SA,
2023-02-14,ELET3.SA,
2023-02-15,ELET3.SA,
2023-02-16,ELET3.SA,
2023-02-17,ELET3.SA,
2023-02-22,ELET3.SA,
2023-02-23,ELET3.SA,
2023-02-24,ELET3.SA,
2023-02-27,ELET3.SA,
2023-02-28,ELET3.SA,
2023-03-01,ELET3.SA,
2023-03-02,ELET3.SA,
2023-03-03,ELET3.SA,
2023-03-06,ELET3.SA,
2023-03-07,ELET3.SA,
2023-03-08,ELET3.SA,
2023-03-09,ELET3.SA,
2023-03-10,ELET3.SA,
2023-03-13,ELET3.SA,
2023-03-14,ELET3.SA,
2023-03-15,ELET3.SA,
2023-03-16,ELET3.SA,
2023-03-17,ELET3.SA,
2023-03-20,ELET3.SA,
2023-03-21,ELET3.SA,
2023-03-22,ELET3.SA,
2023-03-23,ELET3.SA,
2023-03-24,ELET3.SA,
2023-03-27,ELET3.SA,
2023-03-28,ELET3.SA,
2023-03-29,ELET3.SA,
2023-03-30,ELET3.SA,
2023-03-31,ELET3.SA,
2023-04-03,ELET3.SA,
2023-04-04,ELET3.SA,
2023-04-05,ELET3.SA,
2023-04-06,ELET3.SA,
2023-04-10,ELET3.SA,
2023-04-11,ELET3.SA,
2023-04-12,ELET3.SA,
2023-04-13,ELET3.SA,
2023-04-14,ELET3.SA,
2023-04-17,ELET3.SA,
2023-04-18,ELET3.SA,
2023-04-19,ELET3.SA,
2023-04-20,ELET3.SA,
2023-04-24,ELET3.SA,
2023-04-25,ELET3.SA,
2023-04-26,ELET3.SA,
2023-04-27,ELET3.SA,
2023-04-28,ELET3.SA,
2023-05-02,ELET3.SA,
2023-05-03,ELET3.SA,
2023-05-04,ELET3.SA,
2023-05-05,ELET3.SA,
2023-05-08,ELET3.SA,
2023-05-09,ELET3.SA,
2023-05-10,ELET3.SA,
2023-05-11,ELET3.SA,
2023-05-12,ELET3.SA,
2023-05-15,ELET3.SA,
2023-05-16,ELET3.SA,
2023-05-17,ELET3.SA,
2023-05-18,ELET3.SA,
2023-05-19,ELET3.SA,
2023-05-22,ELET3.SA,
2023-05-23,ELET3.SA,
2023-05-24,ELET3.SA,
2023-05-25,ELET3.SA,
2023-05-26,ELET3.SA,
2023-05-29,ELET3.SA,
2023-05-30,ELET3.SA,
2023-05-31,ELET3.SA,
2023-06-01,ELET3.SA,
2023-06-02,ELET3.SA,
2023-06-05,ELET3.SA,
2023-06-06,ELET3.SA,
2023-06-07,ELET3.SA,
2023-06-09,ELET3.SA,
2023-06-12,ELET3.SA,
2023-06-13,ELET3.SA,
2023-06-14,ELET3.SA,
2023-06-15,ELET3.SA,
2023-06-16,ELET3.SA,
2023-06-19,ELET3.SA,
2023-06-20,ELET3.SA,
2023-06-21,ELET3.SA,
2023-06-22,ELET3.SA,
2023-06-23,ELET3.SA,
2023-06-26,ELET3.SA,
2023-06-27,ELET3.SA,
2023-06-28,ELET3.SA,
2023-06-29,ELET3.SA,
2023-06-30,ELET3.SA,
2023-07-03,ELET3.SA,
2023-07-04,ELET3.SA,
2023-07-05,ELET3.SA,
2023-07-06,ELET3.SA,
2023-07-07,ELET3.SA,
2023-07-10,ELET3.SA,
2023-07-11,ELET3.SA,
2023-07-12,ELET3.SA,
2023-07-13,ELET3.SA,
2023-07-14,ELET3.SA,
2023-07-17,ELET3.SA,
2023-07-18,ELET3.SA,
2023-07-19,ELET3.SA,
2023-07-20,ELET3.SA,
2023-07-21,ELET3.SA,
2023-07-24,ELET3.SA,
2023-07-25,ELET3.SA,
2023-07-26,ELET3.SA,
2023-07-27,ELET3.SA,
2023-07-28,ELET3.SA,
2023-07-31,ELET3.SA,
2023-08-01,ELET3.SA,
2023-08-02,ELET3.SA,
2023-08-03,ELET3.SA,
2023-08-04,ELET3.SA,
2023-08-07,ELET3.SA,
2023-08-08,ELET3.SA,
2023-08-09,ELET3.SA,
2023-08-10,ELET3.SA,
2023-08-11,ELET3.SA,
2023-08-14,ELET3.SA,
2023-08-15,ELET3.SA,
2023-08-16,ELET3.SA,
2023-08-17,ELET3.SA,
2023-08-18,ELET3.SA,
2023-08-21,ELET3.SA,
2023-08-22,ELET3.SA,
2023-08-23,ELET3.SA,
2023-08-24,ELET3.SA,
2023-08-25,ELET3.SA,
2023-08-28,ELET3.SA,
2023-08-29,ELET3.SA,
2023-08-30,ELET3.SA,
2023-08-31,ELET3.SA,
2023-09-01,ELET3.SA,
2023-09-04,ELET3.SA,
2023-09-05,ELET3.SA,
2023-09-06,ELET3.SA,
2023-09-08,ELET3.SA,
2023-09-11,ELET3.SA,
2023-09-12,ELET3.SA,
2023-09-13,ELET3.SA,
2023-09-14,ELET3.SA,
2023-09-15,ELET3.SA,
2023-09-18,ELET3.SA,
2023-09-19,ELET3.SA,
2023-09-20,ELET3.SA,
2023-09-21,ELET3.SA,
2023-09-22,ELET3.SA,
2023-09-25,ELET3.SA,
2023-09-26,ELET3.SA,
2023-09-27,ELET3.SA,
2023-09-28,ELET3.SA,
2023-09-29,ELET3.SA,
2023-10-02,ELET3.SA,
2023-10-03,ELET3.SA,
2023-10-04,ELET3.SA,
2023-10-05,ELET3.SA,
2023-10-06,ELET3.SA,
2023-10-09,ELET3.SA,
2023-10-10,ELET3.SA,
2023-10-11,ELET3.SA,
2023-10-13,ELET3.SA,
2023-10-16,ELET3.SA,
2023-10-17,ELET3.SA,
2023-10-18,ELET3.SA,
2023-10-19,ELET3.SA,
2023-10-20,ELET3.SA,
2023-10-23,ELET3.SA,
2023-10-24,ELET3.SA,
2023-10-25,ELET3.SA,
2023-10-26,ELET3.SA,
2023-10-27,ELET3.SA,
2023-10-30,ELET3.SA,
2023-10-31,ELET3.SA,
2023-11-01,ELET3.SA,
2023-11-03,ELET3.SA,
2023-11-06,ELET3.SA,
2023-11-07,ELET3.SA,
2023-11-08,ELET3.SA,
2023-11-09,ELET3.SA,
2023-11-10,ELET3.SA,
2023-11-13,ELET3.SA,
